Beer,beer/,,,,,,,,,,,,,,,,
Sake,sake/,,,,,,,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,,,,,,,
Champagne & Sparkling Wines,champagne/,,,,,,,,,,,,,,,,
Gin,gin/,,,,,,,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,,,,,,,
Rum,rum/,,,,,,,,,,,,,,,,
Tequila,tequila/,,,,,,,,,,,,,,,,
Whisky,whisky/,,,,,,,,,,,,,,,,
Wine & Fortified Wine,wine/,,,,,,,,,,,,,,,,
Shots,shooters/,,,,,,,,,,,,,,,,
Citron Sparkler,citron_sparkler.txt,10237,10105,10379,10248,,,,,,,,,,,,
Classic Champagne Cocktail,classic_champagne_cocktail.txt,10011,10378,10249,,,,,,,,,,,,,
Corpse Reviver No.3,corpse_reviver_no_3.txt,10042,10378,10249,,,,,,,,,,,,,
Death in the Afternoon,death_in_the_afternoon.txt,10000,10378,,,,,,,,,,,,,,
Dream,dream.txt,10354,10093,10144,10378,,,,,,,,,,,,
Epernay,epernay.txt,10102,10085,10378,,,,,,,,,,,,,
Fellini,fellini.txt,10080,10091,10148,10378,,,,,,,,,,,,
Flying,flying.txt,10029,10145,10093,10222,10378,,,,,,,,,,,
Fraises Royale,fraises_royale.txt,10104,10080,10378,10262,,,,,,,,,,,,
French 125,french_125.txt,10015,10127,10378,,,,,,,,,,,,,
French 75,french_75.txt,10145,10222,10378,10257,,,,,,,,,,,,
French Champagne Cocktail,french_champagne_cocktail.txt,10225,10011,10062,10378,,,,,,,,,,,,
French Kiss,french_kiss.txt,10172,10121,10022,10378,10261,,,,,,,,,,,
French Sherbet,french_sherbet.txt,10015,10017,10237,10378,,,,,,,,,,,,
Ginger Fizz,ginger_fizz.txt,10341,10154,10215,10378,,,,,,,,,,,,
James Bond,james_bond.txt,10225,10011,10331,10356,10378,10249,,,,,,,,,,
Jumping Jellybean,jumping_jellybean.txt,10324,10094,10145,10378,,,,,,,,,,,,
Juniper Royale,juniper_royale.txt,10029,10151,10142,10186,10378,,,,,,,,,,,
Kentucky Champagne Cocktail,kentucky_champagne_cocktail.txt,10225,10013,10341,10097,10378,10249,,,,,,,,,,
Kir Royale,kir_royale.txt,10062,10378,10249,,,,,,,,,,,,,
La Dolce Vita,la_dolce_vita.txt,10338,10160,10093,10146,10379,,,,,,,,,,,
Lady Macbeth,lady_macbeth.txt,10378,10367,10249,,,,,,,,,,,,,
Lee Miller's Frobisher,lee_millers_frobisher.txt,10029,10011,10378,10249,,,,,,,,,,,,
Mexican Fizz,mexican_fizz.txt,10324,10062,10378,,,,,,,,,,,,,
Mimosa,mimosa.txt,10151,10093,10378,,,,,,,,,,,,,
Monte Carlo Imperial,monte_carlo_imperial.txt,10029,10063,10145,10378,,,,,,,,,,,,
Never on Sunday,never_on_sunday.txt,10320,10040,10145,10011,10378,10121,10249,,,,,,,,,
Ohio,ohio.txt,10361,10342,10092,10011,10378,,,,,,,,,,,
