Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Brandy Champagne Cocktail,brandy_champagne_cocktail.txt,10224,10011,10013,10377,10248,,,,,
Campari Champagne Cocktail,campari_champagne_cocktail.txt,10045,10377,10256,,,,,,,
Caribbean Fizz,caribbean_fizz.txt,10287,10168,10153,10377,,,,,,
Caribbean Royale,caribbean_royale.txt,10291,10073,10377,10244,,,,,,
Casanova,casanova.txt,10139,10171,10377,10260,,,,,,
Champagne Cooler,champagne_cooler.txt,10093,10014,10011,10377,10256,,,,,
Champagne Cosmo,champagne_cosmo.txt,10160,10025,10092,10377,10247,,,,,
Champagne Julep,champagne_julep.txt,10266,10225,10144,10014,10377,10267,,,,
Chicago,chicago.txt,10248,10221,10013,10092,10011,10377,,,,
Citron Sparkler,citron_sparkler.txt,10236,10104,10378,10247,,,,,,
Classic Champagne Cocktail,classic_champagne_cocktail.txt,10011,10377,10248,,,,,,,
Corpse Reviver No.3,corpse_reviver_no_3.txt,10041,10377,10248,,,,,,,
Death in the Afternoon,death_in_the_afternoon.txt,10000,10377,,,,,,,,
Dream,dream.txt,10353,10092,10143,10377,,,,,,
Epernay,epernay.txt,10101,10084,10377,,,,,,,
Fellini,fellini.txt,10079,10090,10147,10377,,,,,,
Flying,flying.txt,10028,10144,10092,10221,10377,,,,,
Fraises Royale,fraises_royale.txt,10103,10079,10377,10261,,,,,,
French 125,french_125.txt,10014,10126,10377,,,,,,,
French 75,french_75.txt,10144,10221,10377,10256,,,,,,
French Champagne Cocktail,french_champagne_cocktail.txt,10224,10011,10061,10377,,,,,,
French Kiss,french_kiss.txt,10171,10120,10021,10377,10260,,,,,
French Sherbet,french_sherbet.txt,10014,10016,10236,10377,,,,,,
Ginger Fizz,ginger_fizz.txt,10340,10153,10214,10377,,,,,,
James Bond,james_bond.txt,10224,10011,10330,10355,10377,10248,,,,
Jumping Jellybean,jumping_jellybean.txt,10323,10093,10144,10377,,,,,,
Juniper Royale,juniper_royale.txt,10028,10150,10141,10185,10377,,,,,
Kentucky Champagne Cocktail,kentucky_champagne_cocktail.txt,10224,10012,10340,10096,10377,10248,,,,
Kir Royale,kir_royale.txt,10061,10377,10248,,,,,,,
La Dolce Vita,la_dolce_vita.txt,10337,10159,10092,10145,10378,,,,,
Lady Macbeth,lady_macbeth.txt,10377,10366,10248,,,,,,,
Lee Miller's Frobisher,lee_millers_frobisher.txt,10028,10011,10377,10248,,,,,,
Mexican Fizz,mexican_fizz.txt,10323,10061,10377,,,,,,,
Mimosa,mimosa.txt,10150,10092,10377,,,,,,,
Monte Carlo Imperial,monte_carlo_imperial.txt,10028,10062,10144,10377,,,,,,
Never on Sunday,never_on_sunday.txt,10319,10039,10144,10011,10377,10120,10248,,,
Ohio,ohio.txt,10360,10341,10091,10011,10377,,,,,
