10110,10111
10030,10112
10030,10113
10030,10114
10030,10115
99999,10116
10116,10117
10117,10118
10117,10119
10117,10120
10117,10121
10117,10122
10117,10123
10123,10124
10117,10125
10116,10126
10126,10127
10116,10128
10116,10129
10116,10130
10130,10131
10116,10132
10132,10133
10132,10134
10132,10135
10132,10136
10116,10137
10137,10138
10137,10139
10139,10140
10139,10141
10139,10142
10139,10143
10139,10144
10139,10145
10139,10146
10146,10147
10139,10148
10139,10149
10139,10150
10139,10151
10139,10152
10139,10153
10139,10154
10139,10155
10139,10156
10139,10157
10157,10158
10137,10159
10159,10160
10159,10161
10159,10162
10159,10163
10137,10164
10137,10165
10116,10166
10116,10167
10167,10168
10167,10169
10167,10170
10167,10171
10167,10172
10116,10173
10116,10174
10174,10175
10174,10176
10176,10177
10174,10178
10174,10179
10174,10180
10174,10181
10116,10182
10182,10183
10182,10184
10182,10185
10182,10186
10182,10187
10182,10188
10182,10189
10182,10190
10182,10191
10182,10192
10182,10193
10116,10194
10194,10195
99999,10196
10196,10197
10197,10198
10198,10199
10197,10200
10197,10201
10201,10202
10197,10203
10203,10204
10197,10205
10205,10206
10197,10207
10207,10208
10207,10209
10197,10210
10210,10211
10210,10212
10197,10213
10213,10214
10197,10215
10215,10216
10215,10217
10197,10218
10218,10219
10197,10220
10220,10221
10197,10222
10222,10223
10222,10224
10222,10225
10222,10226
10197,10227
10196,10228
10228,10229
10228,10230
10196,10231
10231,10232
10231,10233
10196,10234
10234,10235
10235,10236
10235,10237
10235,10238
10234,10239
10239,10240
10239,10241
10196,10242
10242,10243
10242,10244
10242,10245
10242,10246
10242,10247
10242,10248
10242,10249
10242,10250
10242,10251
10242,10252
10242,10253
10242,10254
10254,10255
10254,10256
10242,10257
10242,10258
10242,10259
10242,10260
10242,10261
10242,10262
10242,10263
10242,10264
10196,10265
10265,10266
10265,10267
10265,10268
10265,10269
10269,10270
10269,10271
10196,10272
10272,10273
10272,10274
10272,10275
10272,10276
10272,10277
10272,10278
10278,10279
10272,10280
10272,10281
10281,10282
99999,10283
10283,10284
10284,10285
10285,10286
10285,10287
10284,10288
10288,10289
10288,10290
10288,10291
10284,10292
10292,10293
10292,10294
10292,10295
10292,10296
10284,10297
10283,10298
10298,10299
10299,10300
10298,10301
10298,10302
10298,10303
10303,10304
10298,10305
99999,10306
10306,10307
99999,10308
10308,10309
10308,10310
10308,10311
10311,10312
10308,10313
10308,10314
10308,10315
10315,10316
10308,10317
99999,10318
10318,10319
10318,10320
99999,10321
10321,10322
10321,10323
10323,10324
10324,10325
10324,10326
10324,10327
10323,10328
10328,10329
10328,10330
99999,10331
10331,10332
10332,10333
10332,10334
10332,10335
10332,10336
10332,10337
10332,10338
10332,10339
99999,10340
10340,10341
10340,10342
10340,10343
10343,10344
10340,10345
10340,10346
10340,10347
10340,10348
10348,10349
10348,10350
99999,10351
10351,10352
10352,10353
10353,10354
10354,10355
10353,10356
10356,10357
10353,10358
10358,10359
10358,10360
10358,10361
10352,10362
10352,10363
10363,10364
10363,10365
10352,10366
10366,10367
10366,10368
10352,10369
10369,10370
10369,10371
10351,10372
10372,10373
10372,10374
10351,10375
10375,10376
10351,10377
10377,10378
10377,10379
10351,10380
10380,10381
10380,10382
10382,10383
